Unnamed: 0,华南快速小包挂号(DG),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,2. 邮寄新加坡的包裹尽可能提供收件人电子邮箱信息、GST税号、不少于6位的HS code（海关编码），如果没有提供会影响包裹清关时效，因此造成相关损失由客户承担。,,,,,,,,
,九、其他要求,,,,,,,,
,1.对于陶瓷、玻璃制品、特殊塑料工艺品等易碎物品，如客户确要发运，需自行做好保护措施减少包裹破损的风险，我司不承担包裹转运破损的相关赔付,,,,,,,,
,为减少在操作转运环节运输导致包裹变形/破损，客户可考虑将包装内部周围加垫防震材料，每件易碎品单独使用泡沫或汽泡纸等防震材料进行包装，易碎品可贴易碎标签，且用纸盒包装，包装建议可参考,,,,,,,,
,2.云途物流根据本合同向客户提供服务不代表云途物流作为客户包裹的进口商。客户应当按照所适用的法律缴纳所有相关税费（包括但不限于销售税、增值税、消费税、进口相关税费等）和包裹进出口所涉及清关服务费（如适用）。,,,,,,,,
,客户须按照所适用的法律规定在当地税务部门注册VAT(Value Added Tax)税号或GST(Goods and Service Tax)税号，云途物流有权要求客户提供其合法注册的真实有效的税号。,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,华南快速小包操作准则,,,,,,,,
,协议客户：,协议客户：（1100060387264）,,,,,,,
,FROM(回邮地址）：,"平邮回邮：
 1.普通平邮（除美国）：YunT +1100060387264+东莞地址(英国的发件地址必须显示东莞的地址，其它国家留空即可）
2.特殊平邮（美国）：协议客户号：1100060387264
Room 420, No. 4, Fuyuan Street, Yayuan, Nancheng Street, Dongguan City, Guangdong Province，China
zip：523000  Phone:8613534161482
(中文发件地址为： YunT 广东省东莞市塘厦镇塘厦路31号)
挂号回邮：
1.普通挂号：YunT +东莞地址(英国的发件地址必须显示东莞的地址，其它国家留空即可）
2.增强型挂号（除新西兰）：协议客户号：1100060387264
Room 420, No. 4, Fuyuan Street, Yayuan, Nancheng Street, Dongguan City, Guangdong Province，China
zip：523000  Phone:8613534161482
(中文发件地址为：YunT 东莞市南城街道雅园富源街4号420室)
3.增强型挂号（新西兰）：YunT",,,,,,,
,客户名字，电话,可不填,,,,,,,
,邮编：,可不填,,,,,,,
,退件单位：,"平邮退件单位：
1.普通平邮：留空
2.特殊平邮（美国）：留空
挂号退件单位:
1.普通挂号:留空
2.增强型挂号（除新西兰）：东莞邮政包裹局邮件处理中心
3.增强型挂号（新西兰）：东莞邮件处理中心",,,,,,,
,面单要求：,平邮和挂号的面单都必须使用目前中国邮政一体化的模板；,,,,,,,
,跟踪号要求：,必须使用一体化面单，跟踪号也需要使用电子号段跟面单一起打印出来，不能使用线下号段，跟踪号必须使用邮局指定的；平邮也有号码段，并且需要使用邮局提供的指定号码段,,,,,,,
,东莞直封国家（46）,"阿根廷  爱尔兰  爱沙尼亚  奥地利  澳大利亚  巴基斯坦  巴西  白俄罗斯  保加利亚  比利时  波兰  丹麦  德国  俄罗斯联邦  法国  菲律宾  芬兰  韩国  荷兰  加拿大  捷克  克罗地亚  拉脱维亚  卢森堡  墨西哥  南非  挪威  葡萄牙  日本  瑞典  瑞士  斯洛伐克  泰国  土耳其  乌克兰  西班牙  希腊  新加坡  新西兰  匈牙利  以色列  意大利  印度  印度尼西亚  英国  智利
",,,,,,,
,广州互封国家（106）,阿富汗  阿鲁巴  阿森松岛  安道尔  安圭拉  诺福克岛  巴哈马  巴拉圭  百慕大  北马里亚纳  贝劳  波多黎各  伯利兹  不丹  朝鲜  法罗群岛  多米尼加  多米尼克  厄立特里亚  法属波利尼西亚  法属圭亚那  留尼汪  梵蒂冈  斐济  佛得角  哥伦比亚  哥斯达黎加  格林纳达  格陵兰  瓜德罗普  关岛-夏威夷  荷属安的列斯  荷属库拉索  洪都拉斯  基里巴斯  几内亚比绍  加纳利群岛  卡奔达  开曼群岛  科科斯基林群岛  科摩罗  库克群岛  立陶宛  列支敦士登  罗马尼亚  福克兰群岛（马尔维纳斯）  马耳他  马拉维  马来西亚  马其顿  马绍尔群岛  马提尼克  马约特  毛里求斯  美国  美属萨摩亚  美属太平洋各群岛  美属维尔京群岛  蒙特塞拉特  秘鲁  密克罗尼西亚  缅甸  摩纳哥  纳米比亚  南乔治亚岛和南桑德韦奇岛  瑙鲁  尼加拉瓜  纽埃  皮特凯恩岛  萨尔瓦多  塞舌尔  沙特阿拉伯  圣诞岛  圣赫勒拿  圣基茨和尼维斯联邦  圣卢西亚  圣马丁  圣马力诺  圣皮埃尔和密克隆  圣文森特和格林纳丁  斯里兰卡  斯威士兰  所罗门群岛  汤加  特克斯和凯科斯群岛  特里斯达库尼亚群岛  特里斯达库尼亚群岛  图瓦卢  托克劳  瓦利斯和富图那群岛  瓦努阿图  危地马拉  西萨摩亚  锡金  新喀里多尼亚  新喀里多尼亚岛  亚速尔群岛和马德拉群岛  英属维尔京群岛  英属印度洋领土  约旦  越南  直布罗陀  中非  中国澳门  中国台湾  中国香港,,,,,,,
,北京互封国家（83）,阿尔巴尼亚  阿尔及利亚  阿塞拜疆  埃及  埃塞俄比亚  安哥拉  安提瓜和巴布达  巴巴多斯  巴布亚新几内亚  巴勒斯坦  巴林  巴拿马  贝宁  冰岛  波黑  玻利维亚  博茨瓦纳  布基纳法索  布隆迪  赤道几内亚  东帝汶  东帝汶  多哥  厄瓜多尔  冈比亚  刚果(布)  刚果(金)  格鲁吉亚  古巴  圭亚那  海地  黑山  吉布提  几内亚  加纳  加蓬  柬埔寨  津巴布韦  喀麦隆  卡塔尔  科特迪瓦  科威特  肯尼亚  莱索托  老挝  黎巴嫩  利比里亚  卢旺达  马达加斯加  马尔代夫  马里  毛里塔尼亚  蒙古  孟加拉国  摩尔多瓦  摩洛哥  莫桑比克  尼泊尔  尼日尔  尼日利亚  塞尔维亚  塞黑  塞拉里昂  塞内加尔  塞浦路斯  圣多美和普林西比民主共和国  苏丹  苏里南  坦桑尼亚  特立尼达和多巴哥  突尼斯  委内瑞拉  文莱  乌干达  乌拉圭  牙买加  亚美尼亚  也门  伊夫尼  伊拉克  伊朗  赞比亚  乍得,,,,,,,
,上海互封（3）,阿联酋 阿曼 斯洛文尼亚,,,,,,,
,乌鲁木齐互封（5）,哈萨克斯坦、吉尔吉斯斯坦、塔吉克斯坦、土库曼斯坦、兹别克斯坦,,,,,,,
,邮局处理中心操作流程（平邮挂号处理流程一致）,直封流程,,,,,,,
,,互封流程,,,,,,,
,其他说明,*由邮局到广航中心，通常一天有3班车，上午12点，下午2点，下午5点发车。另外货量大的情况下，晚上还会增加一班8点的车。,,,,,,,
,,*如果在邮局被查退件的话，不退运费,,,,,,,
,,*只走普货,,,,,,,
,平邮查询网址,https://www.17track.net/zh-cn,,,,,,,
